match_id,date,group,home_team,away_team,home_odds,draw_odds,away_odds
1,2026-06-11,A,Mexico,South Africa,,,
2,2026-06-11,A,South Korea,Czechia,,,
3,2026-06-18,A,Mexico,South Korea,,,
4,2026-06-18,A,Czechia,South Africa,,,
5,2026-06-24,A,South Korea,South Africa,,,
6,2026-06-24,A,Czechia,Mexico,,,
7,2026-06-12,B,Canada,Bosnia and Herzegovina,,,
8,2026-06-13,B,Qatar,Switzerland,,,
9,2026-06-18,B,Canada,Qatar,,,
10,2026-06-18,B,Switzerland,Bosnia and Herzegovina,,,
11,2026-06-24,B,Qatar,Bosnia and Herzegovina,,,
12,2026-06-24,B,Switzerland,Canada,,,
13,2026-06-13,C,Brazil,Morocco,,,
14,2026-06-13,C,Haiti,Scotland,,,
15,2026-06-19,C,Brazil,Haiti,,,
16,2026-06-19,C,Scotland,Morocco,,,
17,2026-06-24,C,Haiti,Morocco,,,
18,2026-06-24,C,Scotland,Brazil,,,
19,2026-06-12,D,United States,Paraguay,,,
20,2026-06-14,D,Australia,Turkey,,,
21,2026-06-19,D,United States,Australia,,,
22,2026-06-19,D,Turkey,Paraguay,,,
23,2026-06-25,D,Australia,Paraguay,,,
24,2026-06-25,D,Turkey,United States,,,
25,2026-06-14,E,Germany,Curacao,,,
26,2026-06-14,E,Ivory Coast,Ecuador,,,
27,2026-06-20,E,Germany,Ivory Coast,,,
28,2026-06-20,E,Ecuador,Curacao,,,
29,2026-06-25,E,Ivory Coast,Curacao,,,
30,2026-06-25,E,Ecuador,Germany,,,
31,2026-06-14,F,Netherlands,Japan,,,
32,2026-06-14,F,Sweden,Tunisia,,,
33,2026-06-20,F,Netherlands,Sweden,,,
34,2026-06-21,F,Tunisia,Japan,,,
35,2026-06-25,F,Sweden,Japan,,,
36,2026-06-25,F,Tunisia,Netherlands,,,
37,2026-06-15,G,Belgium,Egypt,,,
38,2026-06-15,G,Iran,New Zealand,,,
39,2026-06-21,G,Belgium,Iran,,,
40,2026-06-21,G,New Zealand,Egypt,,,
41,2026-06-26,G,Iran,Egypt,,,
42,2026-06-26,G,New Zealand,Belgium,,,
43,2026-06-15,H,Spain,Cape Verde,,,
44,2026-06-15,H,Saudi Arabia,Uruguay,,,
45,2026-06-21,H,Spain,Saudi Arabia,,,
46,2026-06-21,H,Uruguay,Cape Verde,,,
47,2026-06-26,H,Saudi Arabia,Cape Verde,,,
48,2026-06-26,H,Uruguay,Spain,,,
49,2026-06-16,I,France,Senegal,,,
50,2026-06-16,I,Iraq,Norway,,,
51,2026-06-22,I,France,Iraq,,,
52,2026-06-22,I,Norway,Senegal,,,
53,2026-06-26,I,Iraq,Senegal,,,
54,2026-06-26,I,Norway,France,,,
55,2026-06-16,J,Argentina,Algeria,,,
56,2026-06-17,J,Austria,Jordan,,,
57,2026-06-22,J,Argentina,Austria,,,
58,2026-06-22,J,Jordan,Algeria,,,
59,2026-06-27,J,Austria,Algeria,,,
60,2026-06-27,J,Jordan,Argentina,,,
61,2026-06-17,K,Portugal,DR Congo,,,
62,2026-06-17,K,Uzbekistan,Colombia,,,
63,2026-06-23,K,Portugal,Uzbekistan,,,
64,2026-06-23,K,Colombia,DR Congo,,,
65,2026-06-27,K,Uzbekistan,DR Congo,,,
66,2026-06-27,K,Colombia,Portugal,,,
67,2026-06-17,L,England,Croatia,,,
68,2026-06-17,L,Ghana,Panama,,,
69,2026-06-23,L,England,Ghana,,,
70,2026-06-23,L,Panama,Croatia,,,
71,2026-06-27,L,Ghana,Croatia,,,
72,2026-06-27,L,Panama,England,,,
